,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
41,98         Jet Airways,9/3/2019,Delhi,Cochin,DEL → IXC → BOM → COK,13:45,10/3/2023 4:25,14h 40m,2 stops,No info,17019
41,99              IndiGo,3/3/2019,Kolkata,Banglore,CCU → BLR,9:35,12:20,2h 45m,non-stop,No info,6565
42,00               GoAir,27/3/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:50,5h 50m,1 stop,No info,5281
42,01   Multiple carriers,9/6/2019,Delhi,Cochin,DEL → HYD → COK,7:05,16:10,9h 5m,,No info,9646
42,02              IndiGo,6/3/2019,Mumbai,Hyderabad,BOM → HYD,2:30,4:00,1h 30m,,No info,
42,03           Air India,27/6/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,28/6/2023 19:15,23h 30m,2 stops,No info,9653
42,04           Air India,6/3/2019,Delhi,Cochin,DEL → BOM → COK,23:00,7/3/2023 7:40,8h 40m,1 stop,No info,
42,05   Multiple carriers,12/6/2019,Delhi,Cochin,DEL → BOM → COK,4:55,19:15,14h 20m,1 stop,No info,7155
42,06            SpiceJet,,Chennai,Kolkata,MAA → CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
42,07              IndiGo,9/5/2019,Kolkata,Banglore,CCU → BLR,9:35,,2h 45m,non-stop,No info,4804
42,08              IndiGo,3/3/2019,Delhi,Cochin,DEL → HYD → COK,6:40,12:00,5h 20m,1 stop,No info,9304
42,09              IndiGo,,Banglore,Delhi,BLR → DEL,21:15,16/4/2023 0:15,3h,non-stop,No info,3943
42,10,1/6/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:25,,1 stop,No info,7060
42,11           Air India,15/6/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228
42,12            SpiceJet,24/6/2019,Chennai,Kolkata,MAA → CCU,8:20,10:35,2h 15m,non-stop,,3597
42,13            SpiceJet,3/4/2019,Banglore,Delhi,BLR → DEL,21:10,4/4/2023 0:05,2h 55m,non-stop,No info,3971
42,14   Multiple carriers,6/5/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13727
42,15         Jet Airways,1/4/2019,,Banglore,CCU → DEL → BLR,20:25,2/4/2023 22:05,25h 40m,1 stop,No info,12121
42,16         Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,19:15,4/6/2023 19:00,23h 45m,1 stop,In-flight meal not included,10262
42,17         Jet Airways,1/6/2019,Delhi,,DEL → BOM → COK,14:00,2/6/2023 12:35,22h 35m,1 stop,In-flight meal not included,10262
42,18         Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,19:45,2/6/2023 4:25,8h 40m,1 stop,No info,14714
42,19         Jet Airways,21/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,22/3/2023 18:50,23h 40m,2 stops,In-flight meal not included,8834
42,20   Multiple carriers,21/3/2019,Delhi,Cochin,DEL → BOM → COK,4:45,12:35,7h 50m,1 stop,No info,9838
42,21              IndiGo,18/5/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,4775
42,22              IndiGo,3/5/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
42,23           Air India,15/5/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,16/5/2023 12:30,30h 40m,2 stops,No info,
42,24              IndiGo,15/6/2019,Delhi,Cochin,DEL → BOM → COK,10:35,16/6/2023 1:30,14h 55m,1 stop,No info,5883
42,25             Vistara,24/5/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,25/5/2023 20:20,27h 20m,1 stop,No info,9870
42,26         Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,4/6/2023 12:35,23h 35m,1 stop,In-flight meal not included,10262
42,27   Multiple carriers,9/6/2019,Delhi,Cochin,DEL → HYD → COK,7:10,,9h,1 stop,No info,6513
42,28           Air India,15/5/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,16/5/2023 13:45,20h 55m,2 stops,No info,15532
42,29         Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,22:50,7/6/2023 19:00,20h 10m,1 stop,No info,14714
42,30             Vistara,18/5/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,19/5/2023 10:45,14h 25m,1 stop,No info,9187
42,31   Multiple carriers,6/6/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,7038
42,32   Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,,13587
42,33         Jet Airways,3/6/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016
42,34              IndiGo,6/6/2019,Mumbai,Hyderabad,BOM → HYD,9:15,10:45,1h 30m,non-stop,No info,4049
42,35         Jet Airways,6/3/2019,Mumbai,Hyderabad,BOM → HYD,7:10,8:35,1h 25m,non-stop,No info,9536
42,36         Jet Airways,24/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,18:15,9h 50m,1 stop,No info,14571
42,37         Jet Airways,6/6/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812
42,38            Air Asia,6/6/2019,Delhi,Cochin,DEL → BLR → COK,7:55,22:25,14h 30m,1 stop,No info,8759
42,39           Air India,21/5/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No info,10151
42,40              IndiGo,15/5/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804
42,41              IndiGo,24/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,25/6/2023 1:30,8h,1 stop,No info,6104
42,42           Air India,6/5/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510
42,43              IndiGo,9/5/2019,,Cochin,DEL → BLR → COK,17:05,22:25,5h 20m,1 stop,No info,6027
42,44            SpiceJet,21/5/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,2h 25m,non-stop,No info,4174
42,45              IndiGo,21/5/2019,Delhi,Cochin,DEL → BOM → COK,10:35,22/5/2023 1:30,14h 55m,1 stop,No info,6794
42,46           Air India,6/3/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,7/3/2023 7:40,25h 45m,2 stops,No info,15428
42,47,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,7/5/2023 19:50,23h 50m,1 stop,No info,14388
42,48              IndiGo,21/5/2019,Delhi,Cochin,DEL → BOM → COK,15:00,22/5/2023 1:30,10h 30m,1 stop,No info,6896
42,49              IndiGo,,Banglore,New Delhi,,18:25,21:20,2h 55m,non-stop,No info,6144
42,50         Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,,7/3/2023 5:05,6h 15m,1 stop,No info,
42,51           Air India,9/5/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,10/5/2023 8:55,16h 10m,2 stops,No info,13227
42,52         Jet Airways,27/3/2019,Delhi,Cochin,DEL → IDR → BOM → COK,,28/3/2023 4:25,23h,2 stops,,11664
42,53         Jet Airways,12/5/2019,Kolkata,Banglore,,18:55,13/5/2023 18:15,23h 20m,1 stop,In-flight meal not included,10844
42,54         Jet Airways,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,7/6/2023 4:40,7h 30m,1 stop,In-flight meal not included,7757
42,55              IndiGo,12/5/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
42,56   Multiple carriers,27/5/2019,Delhi,Cochin,DEL → BOM → COK,7:00,21:00,,1 stop,No info,7618
42,57         Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,14781
42,58              IndiGo,15/4/2019,Banglore,Delhi,BLR → DEL,0:30,3:25,2h 55m,non-stop,No info,4284
42,59   Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,8:45,21:00,12h 15m,1 stop,No info,7740
42,60              IndiGo,15/6/2019,Banglore,Delhi,BLR → DEL,1:30,4:15,2h 45m,non-stop,No info,3419
42,61         Jet Airways,12/5/2019,Kolkata,,CCU → BOM → BLR,8:25,13/5/2023 4:40,20h 15m,1 stop,,13941
42,62           Air India,9/6/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,10/6/2023 8:55,27h 5m,2 stops,No info,12723
42,63         Jet Airways,12/6/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,8:10,13/6/2023 4:25,20h 15m,2 stops,No info,
42,64           Air India,3/5/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6121
42,65         Jet Airways,9/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:45,11h 45m,1 stop,No info,17549
42,66            SpiceJet,27/3/2019,Mumbai,Hyderabad,BOM → HYD,22:45,28/3/2023 0:10,1h 25m,non-stop,No info,1759
42,67              IndiGo,12/5/2019,Banglore,Delhi,BLR → DEL,6:05,8:50,2h 45m,non-stop,No info,4423
42,68,9/4/2019,Banglore,Delhi,BLR → DEL,7:10,10:10,3h,non-stop,In-flight meal not included,4544
42,69   Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:00,11h,1 stop,No info,12402
42,70         Jet Airways,1/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,2/5/2023 9:20,24h 55m,,In-flight meal not included,9663
42,71         Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,2/4/2023 22:35,26h 35m,1 stop,No info,12681
42,72           Air India,1/4/2019,Delhi,Cochin,DEL → MAA → COK,9:45,2/4/2023 9:25,23h 40m,1 stop,,5117
42,73         Jet Airways,21/5/2019,Delhi,Cochin,DEL → BOM → COK,13:00,22/5/2023 12:35,23h 35m,1 stop,In-flight meal not included,12898
42,74         Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,7/5/2023 8:15,25h 45m,1 stop,No info,13941
42,75         Jet Airways,21/5/2019,Banglore,Delhi,BLR → DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,4030
42,76              IndiGo,1/3/2019,Mumbai,Hyderabad,BOM → HYD,6:20,7:45,1h 25m,non-stop,No info,17501
42,77         Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,13/6/2023 9:20,19h 15m,1 stop,In-flight meal not included,8529
42,78   Multiple carriers,15/5/2019,Delhi,Cochin,DEL → BOM → COK,10:00,16/5/2023 1:30,15h 30m,1 stop,No info,8073
42,79           Air India,9/5/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,10/5/2023 19:15,24h 30m,2 stops,No info,11942
42,80         Jet Airways,21/3/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,18:50,13h 20m,2 stops,No info,11702
42,81              IndiGo,3/6/2019,Delhi,Cochin,DEL → HYD → COK,8:35,16:10,7h 35m,1 stop,No info,6442
42,82              IndiGo,24/6/2019,Kolkata,Banglore,CCU → BLR,9:35,12:20,2h 45m,non-stop,No info,
42,83              IndiGo,1/4/2019,Banglore,Delhi,BLR → DEL,8:30,11:20,2h 50m,non-stop,No info,4823
42,84,12/6/2019,Delhi,Cochin,DEL → BOM → COK,8:50,19:00,10h 10m,1 stop,No info,10877
42,85           Air India,9/6/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,10/6/2023 18:30,30h 30m,2 stops,No info,10151
42,86           Air India,21/6/2019,Delhi,Cochin,DEL → COK,5:10,8:00,2h 50m,non-stop,No info,5201
42,87         Jet Airways,15/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,18:00,8h 25m,1 stop,No info,13067
42,88              IndiGo,24/3/2019,Mumbai,Hyderabad,BOM → HYD,2:30,4:00,1h 30m,non-stop,No info,2754
42,89           Air India,15/5/2019,Kolkata,Banglore,CCU → BOM → BLR,9:25,21:50,12h 25m,1 stop,No info,8366
42,90         Jet Airways,21/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22/5/2023 19:50,24h 55m,1 stop,In-flight meal not included,10844
42,91             Vistara,18/6/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
42,92           Air India,,Delhi,,DEL → GOI → BOM → COK,22:00,22/5/2023 19:15,21h 15m,2 stops,,10231
42,93         Jet Airways,15/6/2019,Delhi,Cochin,DEL → IDR → BOM → COK,5:30,16/6/2023 4:25,22h 55m,2 stops,No info,
42,94              IndiGo,12/6/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4804
42,95           Air India,12/6/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,5201
42,96         Jet Airways,1/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,2/6/2023 4:25,8h 55m,2 stops,In-flight meal not included,10368
42,97             Vistara,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,7/6/2023 18:50,22h 30m,1 stop,No info,8820
42,98         Jet Airways,18/3/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4160
42,99           Air India,15/5/2019,Kolkata,Banglore,CCU → BOM → BLR,9:25,18:30,9h 5m,1 stop,No info,8891
43,00         Jet Airways,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,7/6/2023 14:25,21h 25m,1 stop,In-flight meal not included,10539
43,01            SpiceJet,1/4/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,2h 40m,non-stop,No info,3971
43,02              IndiGo,27/6/2019,Delhi,Cochin,DEL → BOM → COK,7:30,21:00,13h 30m,1 stop,No info,6093
43,03   Multiple carriers,15/5/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,8266
43,04           Air India,18/5/2019,Delhi,Cochin,DEL → MAA → COK,12:30,19/5/2023 9:25,20h 55m,1 stop,No info,7480
43,05         Jet Airways,1/6/2019,Delhi,,DEL → BOM → COK,18:15,,10h 10m,1 stop,In-flight meal not included,10262
43,06           Air India,12/6/2019,Delhi,Cochin,DEL → BLR → COK,20:30,13/6/2023 23:00,26h 30m,1 stop,No info,8907
43,07   Multiple carriers,27/6/2019,Delhi,Cochin,DEL → BOM → COK,8:45,19:00,10h 15m,1 stop,No info,11789
43,08   Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,15135
43,09   Multiple carriers,18/5/2019,Delhi,Cochin,DEL → BOM → COK,8:30,19:15,10h 45m,1 stop,No info,7887
43,10              IndiGo,15/5/2019,Delhi,Cochin,DEL → HYD → COK,5:05,12:10,7h 5m,1 stop,No info,6818
43,11              IndiGo,9/3/2019,Chennai,Kolkata,MAA → CCU,5:15,7:35,2h 20m,non-stop,No info,6482
43,12   Multiple carriers,21/5/2019,Delhi,Cochin,DEL → BOM → COK,,21:00,12h,1 stop,,7888
43,13         Jet Airways,24/3/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,25/3/2023 4:45,20h 20m,1 stop,No info,
43,14         Jet Airways,27/6/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:00,11h,1 stop,In-flight meal not included,10262
43,15         Jet Airways,9/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,10/6/2023 4:25,13h 50m,2 stops,No info,13376
43,16   Multiple carriers,15/5/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,10197
43,17   Multiple carriers,18/5/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,7997
43,18           Air India,3/4/2019,,Cochin,DEL → MAA → COK,17:20,4/4/2023 9:25,16h 5m,1 stop,No info,5117
43,19         Jet Airways,9/5/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,12373
43,20   Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,12:50,10/6/2023 1:30,12h 40m,1 stop,No info,6795
43,21,27/6/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229
43,22           Air India,24/3/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,2575
43,23           Air India,24/5/2019,Kolkata,Banglore,CCU → GAU → BLR,9:50,21:05,11h 15m,1 stop,No info,7662
43,24           Air India,18/5/2019,Kolkata,Banglore,,9:25,21:50,,1 stop,No info,
43,25         Jet Airways,18/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12h 20m,1 stop,In-flight meal not included,10844
43,26              IndiGo,6/6/2019,Chennai,Kolkata,MAA → CCU,5:15,7:40,2h 25m,non-stop,No info,3540
43,27   Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,10:00,4/3/2023 1:35,15h 35m,1 stop,No info,16863
43,28           Air India,3/5/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,6121
43,29              IndiGo,9/3/2019,Banglore,New Delhi,BLR → MAA → DEL,6:25,11:30,5h 5m,1 stop,No info,8434
43,30         Jet Airways,21/5/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151
43,31         Jet Airways,6/6/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:30,12:35,7h 5m,2 stops,No info,14441
43,32               GoAir,1/6/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,,3898
43,33         Jet Airways,9/4/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,10/4/2023 12:35,13h 30m,2 stops,No info,9483
43,34            Air Asia,12/4/2019,Banglore,Delhi,BLR → DEL,4:55,7:45,2h 50m,non-stop,No info,4282
43,35         Jet Airways,,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,6478
43,36         Jet Airways,6/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,8/3/2023 4:25,33h 15m,2 stops,No info,16809
43,37         Jet Airways,9/5/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,10/5/2023 12:35,23h 10m,2 stops,No info,16704
43,38               GoAir,24/6/2019,Banglore,Delhi,BLR → DEL,7:45,10:40,2h 55m,non-stop,No info,3898
43,39         Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BDQ → DEL,5:50,12:20,6h 30m,,No info,11297
43,40              IndiGo,27/5/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224
43,41              IndiGo,6/4/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
43,42              IndiGo,3/3/2019,Delhi,Cochin,DEL → BOM → COK,4:45,15:30,10h 45m,1 stop,No info,14871
43,43,27/6/2019,Delhi,Cochin,DEL → MAA → COK,9:45,28/6/2023 9:25,,1 stop,No info,7480
43,44              IndiGo,3/5/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224
43,45   Multiple carriers,,Delhi,Cochin,DEL → HYD → COK,7:10,16:10,9h,1 stop,In-flight meal not included,6093
43,46              IndiGo,27/6/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
43,47              IndiGo,1/6/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227
43,48         Jet Airways,6/5/2019,Kolkata,Banglore,,6:30,,11h 45m,1 stop,No info,14781
43,49               GoAir,1/5/2019,Banglore,,BLR → DEL,7:45,10:40,2h 55m,non-stop,No info,
43,50             Vistara,24/5/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,22:40,15h 30m,1 stop,No info,9397
43,51             Vistara,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,13/6/2023 10:45,27h 35m,1 stop,No info,8452
43,52              IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,23:30,4/4/2023 2:20,2h 50m,non-stop,,4591
43,53              IndiGo,1/4/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,2/4/2023 2:15,5h 15m,1 stop,No info,5930
43,54           Air India,6/5/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,20:25,14h 35m,2 stops,No info,10991
43,55            SpiceJet,3/3/2019,Kolkata,Banglore,CCU → BLR,6:55,9:35,2h 40m,non-stop,No info,4622
43,56         Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,14714
43,57              IndiGo,18/6/2019,Banglore,Delhi,BLR → DEL,8:30,11:20,2h 50m,non-stop,No info,4823
43,58,18/3/2019,Mumbai,Hyderabad,BOM → HYD,2:55,4:25,1h 30m,non-stop,In-flight meal not included,2228
43,59         Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,In-flight meal not included,10703
43,60             Vistara,3/5/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,
43,61         Jet Airways,24/3/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,18:10,11h 40m,1 stop,No info,13759
43,62              IndiGo,12/6/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943
43,63              IndiGo,21/3/2019,Banglore,New Delhi,BLR → DEL,0:40,3:25,2h 45m,non-stop,No info,4944
43,64         Jet Airways,24/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262
43,65            SpiceJet,6/6/2019,Kolkata,Banglore,CCU → KNU → BLR,11:35,18:50,7h 15m,1 stop,No info,8479
43,66              IndiGo,3/6/2019,Delhi,Cochin,DEL → HYD → COK,7:35,16:10,8h 35m,1 stop,No info,7514
43,67           Air India,6/5/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,6934
43,68         Jet Airways,12/5/2019,,Banglore,CCU → BOM → BLR,18:55,13/5/2023 12:00,17h 5m,1 stop,In-flight meal not included,9663
43,69   Multiple carriers,21/3/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,In-flight meal not included,8085
43,70             Vistara,9/3/2019,Delhi,Cochin,DEL → COK,6:00,9:10,3h 10m,non-stop,No info,7266
43,71              IndiGo,3/6/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:25,5h 20m,1 stop,No info,6493
43,72         Jet Airways,27/6/2019,Delhi,Cochin,DEL → BOM → COK,,19:00,9h,1 stop,,14714
43,73   Multiple carriers,21/5/2019,Delhi,Cochin,DEL → BOM → COK,19:00,22/5/2023 1:30,6h 30m,1 stop,No info,7485
43,74         Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,7/6/2023 4:25,15h 25m,1 stop,In-flight meal not included,10262
43,75             Vistara,21/3/2019,Banglore,New Delhi,BLR → DEL,9:50,12:35,2h 45m,non-stop,No info,4878
43,76   Multiple carriers,12/6/2019,Delhi,Cochin,DEL → BOM → COK,19:00,13/6/2023 1:30,6h 30m,1 stop,No info,7198
43,77         Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,7/3/2023 9:00,16h 5m,1 stop,No info,17261
43,78         Jet Airways,,Kolkata,Banglore,CCU → BOM → BLR,20:00,13/6/2023 8:15,12h 15m,1 stop,No info,13044
43,79         Jet Airways,27/6/2019,Delhi,Cochin,DEL → BOM → COK,,28/6/2023 19:00,25h 30m,1 stop,In-flight meal not included,10262
43,80   Multiple carriers,15/6/2019,Delhi,Cochin,DEL → BOM → COK,6:40,19:15,12h 35m,1 stop,No info,8614
43,81         Jet Airways,27/3/2019,Delhi,Cochin,DEL → BOM → COK,16:00,28/3/2023 19:45,27h 45m,1 stop,No info,12032
43,82         Jet Airways,18/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,13:15,6h 15m,1 stop,No info,12284
43,83               GoAir,27/5/2019,Banglore,Delhi,BLR → DEL,7:45,10:40,2h 55m,non-stop,No info,3419
43,84              IndiGo,21/3/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:20,6h 10m,1 stop,No info,6528
43,85             Vistara,24/3/2019,Banglore,New Delhi,BLR → DEL,7:00,9:40,2h 40m,,No info,
43,86         Jet Airways,27/5/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,9732
43,87              IndiGo,15/4/2019,Delhi,Cochin,DEL → HYD → COK,6:50,12:10,5h 20m,1 stop,No info,5761
43,88           Air India,6/6/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,7:00,7/6/2023 5:25,22h 25m,2 stops,No info,12009
43,89         Jet Airways,18/5/2019,Kolkata,Banglore,CCU → BOM → BLR,5:45,19/5/2023 8:15,26h 30m,1 stop,In-flight meal not included,8586
43,90         Jet Airways,24/5/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,6144
43,91            SpiceJet,24/5/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,2h 40m,non-stop,No check-in baggage included,3257
43,92   Multiple carriers,9/5/2019,Delhi,,DEL → BOM → COK,17:45,10/5/2023 1:30,7h 45m,1 stop,,9021
43,93         Jet Airways,3/6/2019,Delhi,,DEL → BOM → COK,11:30,4/6/2023 12:35,25h 5m,1 stop,In-flight meal not included,
43,94           Air India,6/3/2019,Mumbai,Hyderabad,BOM → AMD → ISK → HYD,5:30,14:50,9h 20m,2 stops,No info,13757
43,95,15/3/2019,Delhi,Cochin,,14:30,17:35,3h 5m,non-stop,No info,5895
43,96         Jet Airways,21/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22/5/2023 4:40,9h 45m,1 stop,In-flight meal not included,9663
43,97           Air India,9/5/2019,Delhi,Cochin,DEL → TRV → COK,5:15,10/5/2023 6:50,25h 35m,1 stop,No info,6587
43,98            SpiceJet,6/5/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,2h 40m,non-stop,No info,3311
43,99            SpiceJet,18/5/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5h 15m,1 stop,No info,6297
44,00         Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,13/5/2023 19:50,24h 55m,1 stop,In-flight meal not included,10844
44,01              IndiGo,27/5/2019,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,1h 30m,non-stop,No info,4049
44,02           Air India,3/6/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6961
44,03            SpiceJet,27/3/2019,Chennai,Kolkata,MAA → CCU,8:20,,2h 15m,non-stop,No info,
44,04         Jet Airways,9/5/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,10/5/2023 12:35,26h 55m,2 stops,In-flight meal not included,13029
44,05            SpiceJet,6/5/2019,Chennai,Kolkata,MAA → CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3859
44,06           Air India,12/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,13/6/2023 19:15,24h 30m,2 stops,No info,11732
44,07   Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,8:45,19:00,10h 15m,1 stop,No info,12524
44,08         Jet Airways,18/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,12:25,5h 25m,,No info,12284
44,09         Jet Airways,15/6/2019,Delhi,Cochin,DEL → BOM → COK,2:15,12:35,10h 20m,1 stop,In-flight meal not included,10262
